,LSOA,Borough,Major Category,Population,Mean,Normalised Deviation,Regression,Flat
8222,E01000914,Camden,Public Order Offences,4206,105.9,7158.84,0.097,10.309278350515463
17542,E01001941,Hammersmith and Fulham,Public Order Offences,4638,104.3,6654.34,0.097,10.309278350515463
45809,E01034200,Newham,Public Order Offences,4719,109.4,7690.82,0.099,10.1010101010101
47065,E01035652,Islington,Public Order Offences,3813,107.7,7539.0,0.105,9.523809523809524
45490,E01034150,Croydon,Public Order Offences,3936,155.1,11027.61,0.107,9.345794392523365
45549,E01034156,Sutton,Public Order Offences,4059,124.1,10114.15,0.108,9.25925925925926
46145,E01034386,Bromley,Public Order Offences,3672,140.3,12388.49,0.117,8.547008547008547
42990,E01004761,Westminster,Public Order Offences,3651,127.3,12246.26,0.122,8.19672131147541
7754,E01000863,Camden,Public Order Offences,4437,188.1,16515.18,0.124,8.064516129032258
43010,E01004763,Westminster,Public Order Offences,6093,216.7,21626.66,0.129,7.751937984496124
47678,E01035716,Westminster,Public Order Offences,6603,230.4,25735.68,0.137,7.2992700729927
42792,E01004736,Westminster,Public Order Offences,6188,195.5,21270.4,0.145,6.8965517241379315
42772,E01004734,Westminster,Public Order Offences,6796,364.2,55358.4,0.182,5.4945054945054945
