,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
40062,Southwark,Theft,E01003934,7992,345.7,3.502774344397285e-06,60082.66,0.218
7691,Bromley,Theft,E01000779,4164,229.3,5.188461767971149e-06,39691.83,0.217
46161,Wandsworth,Theft,E01035495,5328,381.4,3.174905848960776e-06,58087.22,0.217
28637,Kensington and Chelsea,Theft,E01002833,4864,362.8,3.528114663726571e-06,55907.48,0.216
42874,Tower Hamlets,Theft,E01004234,10288,106.9,6.874248296652356e-06,14688.06,0.213
9131,Camden,Theft,E01000956,6060,324.4,3.8123757570568124e-06,44605.0,0.21
38620,Richmond upon Thames,Theft,E01003876,7508,522.6,2.5204611222942428e-06,70551.0,0.21
37496,Redbridge,Theft,E01003783,10196,341.6,3.553306568335872e-06,48882.96,0.203
40099,Southwark,Theft,E01003981,6056,365.6,3.312910279505403e-06,62846.64,0.201
31038,Lambeth,Theft,E01003016,4856,306.1,5.665748830464795e-06,40343.98,0.2
32876,Lewisham,Theft,E01003304,8880,130.0,6.153846153846154e-06,17160.0,0.199
28639,Kensington and Chelsea,Theft,E01002835,5616,330.6,4.0445942400367185e-06,43077.18,0.199
31211,Lambeth,Theft,E01033862,5688,299.8,4.627475218562943e-06,39483.66,0.198
21794,Harrow,Theft,E01002129,10764,415.5,3.364433404332859e-06,56798.85,0.197
35900,Newham,Theft,E01034222,5920,95.9,9.07808382166994e-06,12198.48,0.197
27633,Islington,Theft,E01002770,7576,253.2,4.400148675743575e-06,31675.32,0.194
47400,Westminster,Theft,E01004682,5168,276.6,4.345120984657946e-06,34519.68,0.193
28668,Kensington and Chelsea,Theft,E01002865,5780,168.1,7.474846748262641e-06,21231.03,0.191
32932,Lewisham,Theft,E01033327,8676,402.0,3.3203214694074695e-06,53224.8,0.191
19144,Hammersmith and Fulham,Theft,E01001899,6544,496.7,2.439806425563011e-06,67153.84,0.188
47414,Westminster,Theft,E01004699,6980,380.0,3.673684206813961e-06,55328.0,0.187
46032,Wandsworth,Theft,E01004525,7732,465.6,2.863194693600044e-06,63042.24,0.187
31063,Lambeth,Theft,E01003041,6188,278.2,4.5393858405243485e-06,34580.26,0.186
46059,Wandsworth,Theft,E01004552,7856,300.4,4.3586329383155155e-06,36829.04,0.186
5900,Brent,Theft,E01000601,5568,298.8,4.545009299816229e-06,38724.48,0.186
47441,Westminster,Theft,E01004727,6192,255.0,5.396078444238493e-06,33354.0,0.185
40196,Southwark,Theft,E01033867,6204,216.6,6.226665066745833e-06,26165.28,0.185
31048,Lambeth,Theft,E01003026,6144,115.0,1.008039376114753e-05,13765.5,0.185
46058,Wandsworth,Theft,E01004551,6204,399.2,3.4535738110193223e-06,59919.92,0.183
42916,Tower Hamlets,Theft,E01004293,8124,218.4,7.439560416015458e-06,25727.52,0.183
13033,Ealing,Theft,E01001310,8736,105.1,1.4843006632078008e-05,12275.68,0.181
24843,Hillingdon,Theft,E01002505,7100,316.5,4.985079855395994e-06,37030.5,0.18
27593,Islington,Theft,E01002726,6856,232.9,6.541672616590481e-06,28856.31,0.179
17930,Hackney,Theft,E01001760,7700,343.2,4.154795826394582e-06,42007.68,0.179
27678,Islington,Theft,E01033490,5624,223.2,6.299283150396481e-06,26114.4,0.178
31077,Lambeth,Theft,E01003055,6472,346.2,4.347534027181504e-06,43344.24,0.178
47406,Westminster,Theft,E01004691,4828,261.7,5.426060364107642e-06,29990.82,0.177
27677,Islington,Theft,E01033489,5684,216.3,7.299532536476458e-06,24701.46,0.177
27577,Islington,Theft,E01002710,6440,98.2,7.715346845616318e-06,11469.76,0.176
2644,Barnet,Theft,E01000221,5568,249.6,6.196581209821755e-06,34719.36,0.174
9101,Camden,Theft,E01000921,7468,153.8,7.831704379286249e-06,17533.2,0.174
42855,Tower Hamlets,Theft,E01004208,7908,315.8,4.815608705364629e-06,36759.12,0.173
27686,Islington,Theft,E01035655,6988,284.4,5.714192262752823e-06,33701.4,0.173
20548,Haringey,Theft,E01002093,5421,135.1,1.0288675013628637e-05,15131.2,0.171
20486,Haringey,Theft,E01002029,8552,246.7,4.444305861111459e-06,27235.68,0.171
11015,Croydon,Theft,E01001062,4548,145.4,9.7747592452361e-06,16822.78,0.171
16518,Greenwich,Theft,E01033735,5080,350.0,3.922779920356584e-06,43855.0,0.171
7698,Bromley,Theft,E01000786,2938,176.8,1.1869747844299485e-05,20473.44,0.169
870,Barking and Dagenham,Theft,E01000095,8916,216.4,5.086602303581793e-06,23609.24,0.169
40063,Southwark,Theft,E01003935,5164,215.4,7.733548983862319e-06,23370.9,0.168
42905,Tower Hamlets,Theft,E01004277,6312,357.7,4.7692086914631494e-06,40133.94,0.168
13071,Ealing,Theft,E01001348,6720,155.3,1.1095150859878629e-05,17269.36,0.167
42939,Tower Hamlets,Theft,E01004322,4128,280.7,6.127538312831591e-06,30455.95,0.167
40191,Southwark,Theft,E01032640,4020,160.8,1e-05,17527.2,0.167
31124,Lambeth,Theft,E01003102,7084,254.6,6.048703861054014e-06,27420.42,0.166
28685,Kensington and Chelsea,Theft,E01002882,4272,134.7,8.809700565677921e-06,14345.55,0.165
19143,Hammersmith and Fulham,Theft,E01001898,8400,372.1,3.960452050591179e-06,42865.92,0.165
20474,Haringey,Theft,E01002017,6400,118.8,1.8576570300708232e-05,12616.56,0.165
9036,Camden,Theft,E01000853,5720,268.2,6.664802388142655e-06,28643.76,0.165
9118,Camden,Theft,E01000939,5784,248.5,6.465459414533254e-06,26688.9,0.165
19184,Hammersmith and Fulham,Theft,E01001941,6184,256.7,5.875701923103138e-06,33730.38,0.164
32941,Lewisham,Theft,E01034394,4992,352.1,5.4529962979553606e-06,37815.54,0.164
13084,Ealing,Theft,E01001361,9084,303.1,5.257948568356037e-06,32098.29,0.163
11135,Croydon,Theft,E01001183,7192,148.4,1.1538955183840422e-05,15671.04,0.162
11157,Croydon,Theft,E01034148,6536,157.4,7.038097920817077e-06,18337.1,0.162
44402,Waltham Forest,Theft,E01004397,11584,399.0,4.333221115906095e-06,43890.0,0.161
35761,Newham,Theft,E01003520,8028,184.9,8.513345831662838e-06,22372.9,0.161
23296,Havering,Theft,E01002356,8428,368.7,4.5717385509768595e-06,44059.65,0.161
34226,Merton,Theft,E01034581,5996,280.2,6.114000217377164e-06,29421.0,0.161
41380,Sutton,Theft,E01004119,2924,161.3,1.2948365982249706e-05,18388.2,0.16
23218,Havering,Theft,E01002277,3244,133.3,1.5210052420989367e-05,13716.57,0.16
28692,Kensington and Chelsea,Theft,E01002889,6264,355.8,4.758215219165653e-06,37536.9,0.16
28659,Kensington and Chelsea,Theft,E01002856,5680,143.0,1.3696648250746952e-05,14829.1,0.159
14921,Enfield,Theft,E01033927,6588,192.2,9.793369980580824e-06,20642.28,0.159
19103,Hammersmith and Fulham,Theft,E01001857,6204,316.4,4.456384326035352e-06,36702.4,0.159
47384,Westminster,Theft,E01004660,5668,221.9,8.807943962169387e-06,22655.99,0.158
18023,Hackney,Theft,E01033712,6156,280.5,6.454860030975453e-06,28751.25,0.158
823,Barking and Dagenham,Theft,E01000045,6916,135.8,1.5914948478218993e-05,14000.98,0.157
47429,Westminster,Theft,E01004715,7416,248.0,7.293469688347269e-06,26461.6,0.157
14859,Enfield,Theft,E01001513,7920,226.3,8.139021055964894e-06,23716.24,0.156
13050,Ealing,Theft,E01001327,5769,145.4,1.1669633515392841e-05,15935.84,0.156
26323,Hounslow,Theft,E01002630,8264,70.9,1.3876015800674695e-05,7522.49,0.156
47492,Westminster,Theft,E01035721,9344,251.5,8.07675684484143e-06,25200.3,0.156
34201,Merton,Theft,E01003456,6440,339.0,5.134337870987551e-06,41120.7,0.154
31149,Lambeth,Theft,E01003129,7156,61.5,2.1954287704222354e-05,6721.95,0.153
18028,Hackney,Theft,E01035641,5612,278.7,5.753242100069374e-06,29570.07,0.153
31039,Lambeth,Theft,E01003017,6696,236.9,8.31326200138873e-06,23737.38,0.153
10937,Croydon,Theft,E01000979,6912,92.8,2.013047527287161e-05,9177.92,0.153
42971,Tower Hamlets,Theft,E01035664,10268,175.6,1.0081690323621856e-05,17770.72,0.152
40202,Southwark,Theft,E01033873,6924,160.1,1.0057667446685713e-05,16218.13,0.152
24844,Hillingdon,Theft,E01002506,8216,195.2,6.788736107326768e-06,20027.52,0.152
43003,Tower Hamlets,Theft,E01035696,4568,167.1,1.093476960511518e-05,16659.87,0.151
20514,Haringey,Theft,E01002058,6232,170.8,9.121779847521787e-06,17062.92,0.151
9043,Camden,Theft,E01000861,5520,250.3,7.35117856925026e-06,24504.37,0.151
11155,Croydon,Theft,E01034146,5788,196.0,6.711502771444599e-06,19208.0,0.151
7636,Bromley,Theft,E01000722,5652,107.5,1.1683720926754612e-05,11212.25,0.151
32772,Lewisham,Theft,E01003193,7128,147.6,9.855649622036824e-06,15010.92,0.15
35810,Newham,Theft,E01003569,9900,206.1,8.005822410476112e-06,25453.35,0.15
40192,Southwark,Theft,E01032646,5924,190.2,9.73317560008507e-06,18791.76,0.15
40169,Southwark,Theft,E01004059,8200,102.4,1.4559659054716758e-05,10618.88,0.149
16536,Greenwich,Theft,E01034179,5640,195.8,8.001361959827354e-06,19775.8,0.149
28705,Kensington and Chelsea,Theft,E01002903,5140,188.4,1.091295119692212e-05,18406.68,0.149
46111,Wandsworth,Theft,E01004609,8776,332.5,4.713211607699433e-06,34846.0,0.148
19159,Hammersmith and Fulham,Theft,E01001914,6024,69.2,1.1924934635259536e-05,6601.68,0.148
7591,Bromley,Theft,E01000677,7596,217.8,7.581746293767574e-06,22476.96,0.148
