,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
13788,E01001512,Theft,Enfield,9156,39.0,0.003,1002.3
36,E01000009,Theft,Barking and Dagenham,7180,58.1,0.003,1888.25
12315,E01001355,Theft,Ealing,7756,39.0,0.003,1021.8
15175,E01001673,Theft,Greenwich,9752,47.2,0.003,1345.2
12998,E01001427,Theft,Enfield,6920,48.6,0.003,1341.36
16639,E01001844,Vehicle Offences,Hackney,5838,47.0,0.003,1489.9
584,E01000070,Vehicle Offences,Barking and Dagenham,6219,38.7,0.003,1033.29
42102,E01004654,Vehicle Offences,Westminster,7425,40.2,0.003,1133.64
11290,E01001246,Theft,Ealing,7332,47.5,0.003,1296.75
16501,E01001830,Theft,Hackney,7668,74.8,0.003,2834.92
16491,E01001829,Theft,Hackney,7140,60.3,0.003,1953.72
16224,E01001798,Theft,Hackney,9452,40.9,0.003,1112.48
16531,E01001833,Theft,Hackney,8340,37.0,0.003,906.5
41613,E01004601,Theft,Wandsworth,10040,26.0,0.003,496.6
18132,E01002003,Theft,Haringey,10300,42.1,0.003,1065.13
10638,E01001176,Theft,Croydon,7336,30.4,0.003,708.32
42541,E01004710,Theft,Westminster,8024,29.1,0.003,654.75
17411,E01001925,Theft,Hammersmith and Fulham,6172,46.9,0.003,1453.9
17554,E01001942,Theft,Hammersmith and Fulham,7264,46.9,0.003,1252.23
11330,E01001250,Theft,Ealing,8672,27.1,0.003,512.19
11260,E01001243,Theft,Ealing,9468,29.8,0.003,610.9
18576,E01002051,Theft,Haringey,7632,44.2,0.003,1171.3
18437,E01002037,Theft,Haringey,6744,52.4,0.003,1592.96
18768,E01002071,Theft,Haringey,7116,35.3,0.003,914.27
18778,E01002072,Theft,Haringey,7612,52.4,0.003,1640.12
20012,E01002209,Theft,Harrow,7412,34.7,0.003,870.97
10419,E01001154,Theft,Croydon,7688,37.3,0.003,880.28
9793,E01001087,Vehicle Offences,Croydon,8490,34.3,0.003,854.07
41278,E01004564,Theft,Wandsworth,7472,36.7,0.003,866.12
10075,E01001118,Theft,Croydon,8596,36.4,0.003,822.64
10036,E01001113,Vehicle Offences,Croydon,8064,28.7,0.003,579.74
21268,E01002345,Vehicle Offences,Havering,7720,44.7,0.003,1189.02
20098,E01002219,Theft,Harrow,7892,77.0,0.003,2710.4
10598,E01001172,Theft,Croydon,8872,63.7,0.003,1961.96
10549,E01001167,Theft,Croydon,9324,51.6,0.003,1584.12
46971,E01035642,Theft,Hackney,7292,71.4,0.003,2570.4
16904,E01001871,Theft,Hammersmith and Fulham,6096,40.9,0.003,1132.93
21743,E01002397,Theft,Hillingdon,7816,95.4,0.003,3844.62
22194,E01002448,Theft,Hillingdon,8648,31.7,0.003,710.08
20229,E01002233,Theft,Harrow,9684,38.4,0.003,1052.16
19429,E01002142,Theft,Harrow,7592,43.8,0.003,1296.48
9302,E01001033,Theft,Croydon,6592,46.8,0.003,1595.88
21498,E01002370,Vehicle Offences,Havering,9868,40.2,0.003,924.6
22203,E01002449,Theft,Hillingdon,8528,33.3,0.003,745.92
9390,E01001042,Theft,Croydon,8644,90.8,0.003,3849.92
9109,E01001011,Theft,Croydon,9156,37.6,0.003,943.76
23923,E01002641,Public Order Offences,Hounslow,8184,33.6,0.003,819.84
12375,E01001361,Vehicle Offences,Ealing,9084,30.6,0.003,679.32
12978,E01001425,Theft,Enfield,8028,40.9,0.003,1071.58
485,E01000060,Vehicle Offences,Barking and Dagenham,8676,26.4,0.003,498.96
998,E01000114,Theft,Barking and Dagenham,9576,37.7,0.003,923.65
15792,E01001745,Theft,Hackney,8524,65.3,0.003,2161.43
15674,E01001732,Theft,Hackney,7564,34.5,0.003,890.1
16364,E01001814,Theft,Hackney,6816,65.4,0.003,2269.38
42648,E01004721,Theft,Westminster,7572,36.5,0.003,945.35
12102,E01001333,Theft,Ealing,9856,30.7,0.003,617.07
11589,E01001278,Theft,Ealing,8392,37.9,0.003,951.29
15849,E01001753,Theft,Hackney,4569,44.5,0.003,1455.15
11425,E01001261,Theft,Ealing,9176,138.9,0.003,6458.85
16354,E01001813,Theft,Hackney,7756,60.7,0.003,2191.27
16194,E01001794,Theft,Hackney,7788,42.3,0.003,1252.08
11998,E01001322,Theft,Ealing,8172,40.2,0.003,1105.5
15694,E01001734,Theft,Hackney,7420,92.8,0.003,3814.08
15743,E01001739,Theft,Hackney,7884,40.4,0.003,1086.76
42668,E01004723,Theft,Westminster,8912,26.5,0.003,487.6
65,E01000013,Theft,Barking and Dagenham,7348,81.8,0.003,2912.08
259,E01000035,Theft,Barking and Dagenham,7400,46.3,0.003,1324.18
12609,E01001387,Theft,Ealing,6064,42.8,0.003,1249.76
47642,E01035712,Theft,Camden,9912,66.3,0.003,2313.87
26889,E01002968,Vehicle Offences,Kingston upon Thames,11748,25.8,0.003,487.62
27341,E01003018,Vehicle Offences,Lambeth,6018,34.4,0.003,835.92
27388,E01003023,Theft,Lambeth,10336,41.3,0.003,982.94
25462,E01002812,Theft,Kensington and Chelsea,4458,45.9,0.003,1491.75
25213,E01002786,Theft,Islington,7800,51.2,0.003,1495.04
25303,E01002795,Vehicle Offences,Islington,7784,30.8,0.003,705.32
24585,E01002718,Theft,Islington,6328,47.7,0.003,1574.1
24774,E01002738,Theft,Islington,7464,55.6,0.003,1795.88
24274,E01002681,Theft,Hounslow,9696,50.3,0.003,1252.47
24975,E01002762,Theft,Islington,7444,39.2,0.003,1027.04
24446,E01002703,Theft,Islington,9392,48.4,0.003,1432.64
24339,E01002692,Theft,Hounslow,8488,59.7,0.003,1808.91
23847,E01002633,Theft,Hounslow,8824,34.6,0.003,826.94
41425,E01004580,Theft,Wandsworth,8568,43.3,0.003,1234.05
41415,E01004579,Theft,Wandsworth,7628,28.5,0.003,587.1
918,E01000105,Theft,Barking and Dagenham,9212,93.9,0.003,3521.25
23379,E01002584,Theft,Hounslow,8376,28.5,0.003,621.3
22957,E01002537,Theft,Hillingdon,10104,30.9,0.003,713.79
23161,E01002559,Vehicle Offences,Hounslow,10296,27.9,0.003,544.05
40766,E01004508,Vehicle Offences,Wandsworth,8060,33.3,0.003,795.87
41031,E01004536,Theft,Wandsworth,9548,35.7,0.003,831.81
23663,E01002614,Theft,Hounslow,8412,33.7,0.003,791.95
29105,E01003201,Theft,Lewisham,5058,52.6,0.003,1841.0
29161,E01003207,Theft,Lewisham,9320,40.0,0.003,948.0
28382,E01003127,Theft,Lambeth,6348,47.3,0.003,1541.98
39764,E01004401,Theft,Waltham Forest,9340,33.6,0.003,759.36
39861,E01004411,Theft,Waltham Forest,5874,43.6,0.003,1277.48
27953,E01003081,Theft,Lambeth,7332,40.4,0.003,1058.48
27659,E01003051,Theft,Lambeth,8316,52.8,0.003,1525.92
27533,E01003038,Vehicle Offences,Lambeth,6852,36.3,0.003,929.28
40154,E01004443,Theft,Waltham Forest,8944,36.6,0.003,940.62
27768,E01003062,Theft,Lambeth,7124,43.7,0.003,1227.97
30384,E01003340,Theft,Lewisham,8276,25.8,0.003,495.36
30578,E01003360,Theft,Merton,7196,48.7,0.003,1485.35
44766,E01033880,Theft,Southwark,8440,108.8,0.003,4743.68
30744,E01003379,Theft,Merton,8004,42.4,0.003,1119.36
30837,E01003389,Theft,Merton,7164,40.6,0.003,990.64
31313,E01003439,Theft,Merton,6364,56.4,0.003,1917.6
32204,E01003538,Vehicle Offences,Newham,8576,28.1,0.003,570.43
31911,E01003507,Vehicle Offences,Newham,9108,35.4,0.003,853.14
32575,E01003576,Theft,Newham,7276,47.9,0.003,1365.15
31892,E01003503,Vehicle Offences,Newham,11540,30.5,0.003,643.55
39315,E01004354,Theft,Waltham Forest,7980,67.2,0.003,2197.44
2746,E01000305,Theft,Barnet,6540,37.8,0.003,1009.26
39257,E01004348,Vehicle Offences,Waltham Forest,11716,24.5,0.003,396.9
39200,E01004342,Vehicle Offences,Waltham Forest,6279,42.8,0.003,1172.72
29918,E01003288,Theft,Lewisham,8648,35.6,0.003,872.2
30365,E01003338,Theft,Lewisham,8204,30.1,0.003,626.08
39949,E01004420,Vehicle Offences,Waltham Forest,8948,40.7,0.003,1086.69
2682,E01000298,Theft,Barnet,6904,55.7,0.003,1687.71
5766,E01000640,Theft,Brent,8992,49.3,0.003,1247.29
29181,E01003210,Theft,Lewisham,7020,42.6,0.003,1231.14
28908,E01003181,Theft,Lambeth,6228,37.6,0.003,962.56
47239,E01035670,Public Order Offences,Tower Hamlets,13140,25.8,0.003,516.0
39678,E01004392,Vehicle Offences,Waltham Forest,7719,37.4,0.003,923.78
39969,E01004422,Vehicle Offences,Waltham Forest,10512,47.8,0.003,1228.46
2245,E01000250,Theft,Barnet,10444,85.3,0.003,3011.09
1718,E01000194,Theft,Barnet,7564,43.9,0.003,1141.4
40746,E01004506,Theft,Wandsworth,8804,36.3,0.003,914.76
28235,E01003112,Theft,Lambeth,5313,50.9,0.003,1623.71
28741,E01003164,Theft,Lambeth,9000,30.0,0.003,597.0
28639,E01003153,Theft,Lambeth,8604,63.0,0.003,1908.9
28422,E01003131,Theft,Lambeth,8708,49.7,0.003,1456.21
28031,E01003089,Theft,Lambeth,7784,36.3,0.003,827.64
5841,E01000648,Theft,Bromley,7680,30.7,0.003,709.17
33250,E01003653,Theft,Redbridge,8672,44.6,0.003,1213.12
33290,E01003657,Vehicle Offences,Redbridge,8616,31.9,0.003,765.6
32916,E01003618,Vehicle Offences,Newham,6708,42.2,0.003,1190.04
33395,E01003669,Vehicle Offences,Redbridge,6212,46.1,0.003,1383.0
33385,E01003668,Theft,Redbridge,6856,43.6,0.003,1155.4
39419,E01004365,Theft,Waltham Forest,9988,46.4,0.003,1257.44
39001,E01004321,Theft,Tower Hamlets,8988,55.0,0.003,1507.0
32399,E01003558,Theft,Newham,6840,69.7,0.003,2467.38
2904,E01000322,Theft,Barnet,7420,31.2,0.003,667.68
32837,E01003603,Vehicle Offences,Newham,7756,35.6,0.003,818.8
33022,E01003630,Theft,Newham,7748,36.7,0.003,950.53
32409,E01003559,Theft,Newham,9460,42.3,0.003,1070.19
5472,E01000608,Theft,Brent,9320,54.6,0.003,1599.78
34037,E01003739,Vehicle Offences,Redbridge,9544,25.5,0.003,471.75
33083,E01003636,Theft,Newham,6567,39.6,0.003,1124.64
3483,E01000385,Theft,Bexley,8032,28.9,0.003,609.79
33997,E01003735,Theft,Redbridge,8432,39.5,0.003,1098.1
38862,E01004303,Vehicle Offences,Tower Hamlets,8745,34.5,0.003,910.8
34317,E01003770,Theft,Redbridge,8592,44.8,0.003,1115.52
5365,E01000594,Theft,Brent,7268,46.1,0.003,1350.73
34420,E01003781,Theft,Redbridge,8028,45.8,0.003,1199.96
5727,E01000636,Theft,Brent,10512,32.3,0.003,668.61
5269,E01000583,Theft,Brent,8112,60.4,0.003,1884.48
4813,E01000533,Theft,Brent,8656,41.5,0.003,1074.85
3031,E01000335,Vehicle Offences,Bexley,10964,36.4,0.003,884.52
33468,E01003677,Theft,Redbridge,7232,40.0,0.003,1156.0
38871,E01004304,Theft,Tower Hamlets,8732,50.3,0.003,1383.25
47593,E01035707,Vehicle Offences,Camden,9852,41.2,0.003,1062.96
